days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd	Foliage	Foliage_sd	FoliageNPP	FNPP_sd	Wood	Wood_sd	WoodNPP	WNPP_sd	Root	Root_sd	RootNPP	RNPP_sd	SoilC	SoilC_sd	Phenology	Pheno_sd
128	2.082395237	-9999	-1.464357463	-9999	0.618037774	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
129	2.441489621	-9999	-1.859398632	-9999	0.582090989	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
134	1.750933593	-9999	-1.113694488	-9999	0.637239105	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
136	2.00070707	-9999	-1.572300698	-9999	0.428406371	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
138	2.079960295	-9999	-1.389529382	-9999	0.690430913	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
141	2.171930289	-9999	-1.59400211	-9999	0.577928179	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
145	1.920421343	-9999	-1.6146972	-9999	0.305724143	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
152	1.740715209	-9999	-1.072971101	-9999	0.667744109	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
159	1.978473691	-9999	-0.637914852	-9999	1.340558839	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
163	1.340063907	-9999	-0.780754399	-9999	0.559309508	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
191	0.196365248	-9999	0.119866014	-9999	0.316231262	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
199	0.233875009	-9999	0.231453703	-9999	0.465328711	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
211	2.483348566	-9999	-0.821637	-9999	1.661711566	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
240	0.232733701	-9999	0.247782629	-9999	0.48051633	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
242	0.042374085	-9999	0.608702407	-9999	0.651076492	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
248	0.10847185	-9999	0.230748098	-9999	0.339219948	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
258	0.167318974	-9999	0.045936357	-9999	0.213255331	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
260	0.129959685	-9999	0.067537737	-9999	0.197497423	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
264	0.300449768	-9999	0.166423896	-9999	0.466873664	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
269	0.800786969	-9999	0.042508897	-9999	0.843295866	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
270	-9999	-9999	-9999	-9999	-9999	-9999	12.402	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
274	1.478908528	-9999	-0.556846272	-9999	0.922062256	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
280	1.046422541	-9999	-0.519244128	-9999	0.527178413	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
